     DEPTH         AC        DEN         GR
   26.7500 -9999.0000 -9999.0000    56.9020
   26.8750 -9999.0000 -9999.0000    57.3722
   27.0000 -9999.0000 -9999.0000    60.1194
   27.1250 -9999.0000 -9999.0000    63.3532
   27.2500 -9999.0000 -9999.0000    64.5797
   27.3750 -9999.0000 -9999.0000    64.6892
   27.5000 -9999.0000 -9999.0000    65.7523
   27.6250 -9999.0000 -9999.0000    68.0573
   27.7500 -9999.0000 -9999.0000    70.2999
   27.8750 -9999.0000 -9999.0000    71.3406
   28.0000 -9999.0000 -9999.0000    71.3067
   28.1250 -9999.0000 -9999.0000    71.3915
   28.2500 -9999.0000 -9999.0000    72.5100
   28.3750 -9999.0000 -9999.0000    74.6064
   28.5000 -9999.0000 -9999.0000    76.3267
   28.6250 -9999.0000 -9999.0000    75.6891
   28.7500 -9999.0000 -9999.0000    72.8830
   28.8750 -9999.0000 -9999.0000    69.3075
   29.0000 -9999.0000 -9999.0000    66.8685
   29.1250 -9999.0000 -9999.0000    65.3006
   29.2500 -9999.0000 -9999.0000    64.0180
   29.3750 -9999.0000 -9999.0000    63.0846
   29.5000 -9999.0000 -9999.0000    62.6708
   29.6250 -9999.0000 -9999.0000    62.3535
   29.7500 -9999.0000 -9999.0000    61.3435
   29.8750 -9999.0000 -9999.0000    60.4862
   30.0000 -9999.0000 -9999.0000    61.6525
   30.1250 -9999.0000 -9999.0000    64.5013
   30.2500 -9999.0000 -9999.0000    67.1433
   30.3750 -9999.0000 -9999.0000    67.8055
   30.5000 -9999.0000 -9999.0000    66.4391
   30.6250 -9999.0000 -9999.0000    64.0703
   30.7500 -9999.0000 -9999.0000    62.2877
   30.8750 -9999.0000 -9999.0000    62.3420
   31.0000 -9999.0000 -9999.0000    64.2865
   31.1250 -9999.0000 -9999.0000    66.1823
   31.2500 -9999.0000 -9999.0000    66.6401
   31.3750 -9999.0000 -9999.0000    66.3150
   31.5000 -9999.0000 -9999.0000    65.2104
   31.6250 -9999.0000 -9999.0000    63.0640
   31.7500 -9999.0000 -9999.0000    60.6871
   31.8750 -9999.0000 -9999.0000    59.7907
   32.0000 -9999.0000 -9999.0000    60.5150
   32.1250 -9999.0000 -9999.0000    60.6951
   32.2500 -9999.0000 -9999.0000    59.5297
   32.3750 -9999.0000 -9999.0000    58.5773
   32.5000 -9999.0000 -9999.0000    59.0887
   32.6250 -9999.0000 -9999.0000    61.1218
   32.7500 -9999.0000 -9999.0000    63.3457
   32.8750 -9999.0000 -9999.0000    64.0575
   33.0000 -9999.0000 -9999.0000    63.4672
   33.1250 -9999.0000 -9999.0000    63.0917
   33.2500 -9999.0000 -9999.0000    63.6404
   33.3750 -9999.0000 -9999.0000    64.6932
   33.5000 -9999.0000 -9999.0000    65.6593
   33.6250 -9999.0000 -9999.0000    66.2364
   33.7500 -9999.0000 -9999.0000    66.2548
   33.8750 -9999.0000 -9999.0000    65.7134
   34.0000 -9999.0000 -9999.0000    65.4727
   34.1250 -9999.0000 -9999.0000    66.6897
   34.2500 -9999.0000 -9999.0000    69.1188
   34.3750 -9999.0000 -9999.0000    71.2516
   34.5000 -9999.0000 -9999.0000    71.6122
   34.6250 -9999.0000 -9999.0000    70.5654
   34.7500 -9999.0000 -9999.0000    69.6490
   34.8750 -9999.0000 -9999.0000    69.1416
   35.0000 -9999.0000 -9999.0000    68.5486
   35.1250 -9999.0000 -9999.0000    68.7113
   35.2500 -9999.0000 -9999.0000    70.7299
   35.3750 -9999.0000 -9999.0000    72.8001
   35.5000 -9999.0000 -9999.0000    72.8537
   35.6250 -9999.0000 -9999.0000    71.5346
   35.7500 -9999.0000 -9999.0000    71.1436
   35.8750 -9999.0000 -9999.0000    71.9254
   36.0000 -9999.0000 -9999.0000    72.1964
   36.1250 -9999.0000 -9999.0000    71.9527
   36.2500 -9999.0000 -9999.0000    72.0129
   36.3750 -9999.0000 -9999.0000    71.4537
   36.5000 -9999.0000 -9999.0000    69.0853
   36.6250 -9999.0000 -9999.0000    65.4651
   36.7500 -9999.0000 -9999.0000    62.5766
   36.8750 -9999.0000 -9999.0000    60.9304
   37.0000 -9999.0000 -9999.0000    59.8604
   37.1250 -9999.0000 -9999.0000    59.5867
   37.2500 -9999.0000 -9999.0000    60.9181
   37.3750 -9999.0000 -9999.0000    63.0049
   37.5000 -9999.0000 -9999.0000    64.3815
   37.6250 -9999.0000 -9999.0000    64.3416
   37.7500 -9999.0000 -9999.0000    63.4516
   37.8750 -9999.0000 -9999.0000    62.7499
   38.0000 -9999.0000 -9999.0000    63.2696
   38.1250 -9999.0000 -9999.0000    64.0741
   38.2500 -9999.0000 -9999.0000    63.6280
   38.3750 -9999.0000 -9999.0000    61.5407
   38.5000 -9999.0000 -9999.0000    59.9863
   38.6250 -9999.0000 -9999.0000    59.8945
   38.7500 -9999.0000 -9999.0000    60.1966
   38.8750 -9999.0000 -9999.0000    60.3003
   39.0000 -9999.0000 -9999.0000    61.2306
   39.1250 -9999.0000 -9999.0000    63.2977
   39.2500 -9999.0000 -9999.0000    64.7190
   39.3750 -9999.0000 -9999.0000    64.4668
   39.5000 -9999.0000 -9999.0000    64.1957
   39.6250 -9999.0000 -9999.0000    64.4918
   39.7500 -9999.0000 -9999.0000    64.4969
   39.8750 -9999.0000 -9999.0000    63.5291
   40.0000 -9999.0000 -9999.0000    62.4903
   40.1250 -9999.0000 -9999.0000    63.5270
